"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"109";"drogerijen, chemicalien en verfwaren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"110";"drijfriemensmeer (gummiin)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"111";"duimstokken en ellematen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"112";"eau de cologne (fabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"113";"effecten (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"114";"eieren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"115";"elektrische toestellen, electriciens (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"116";"engineers (sanitary)";"https://iisg.amsterdam/resource/hisco/code/hisco/02120";"Building Architect";"Designs buildings and exercises general supervision over their construction. Building construction engineer is classified in 0-22.20."
"117";"equipementstukken (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"118";"essaieurs";"https://iisg.amsterdam/resource/hisco/code/hisco/44330";"Appraiser";"Determines value of real estate, industrial equipment, personal and household effects, works of art, gems and other articles, by examining them for condition and authenticity."
"119";"etuisfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"120";"expediteurs";"https://iisg.amsterdam/resource/hisco/code/hisco/39120";"Dispatching and Receiving Clerk";"Arranges the transmission of goods, invoices and other related materials and keeps appropriate records."
"121";"experts (scheeps-)";"https://iisg.amsterdam/resource/hisco/code/hisco/44330";"Appraiser";"Determines value of real estate, industrial equipment, personal and household effects, works of art, gems and other articles, by examining them for condition and authenticity."
"122";"exporteurs";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"123";"figuurzaagbenoodigdheden (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"124";"filtreermakers";"https://iisg.amsterdam/resource/hisco/code/hisco/74320";"Filter-Press Operator";"Operates filter press to remove sediment, impurities and insoluble materials from liquid concentrations."
"125";"flesschen (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"126";"fourage (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"127";"fruit, enz. (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"128";"fruit, enz. (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"129";"galanteriën, kramerijen, porselein, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"130";"galanteriën, kramerijen, porselein, enz. (reperateurs)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"131";"garens (kooplieden en agenten in)";"https://iisg.amsterdam/resource/hisco/code/hisco/75220";"Spinner, Thread and Yarn";"Operates machines to spin thread and yarn from roving on to spindles or other output packages."
"132";"garen, band, sajetten, enz. (magazijnhouders, winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"133";"gasgloeilichtfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"134";"gas- en petroleummotoren";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"135";"gas-, electrische- en waterleiding-ornamenten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"136";"gebreide goederen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"137";"gedistilleerd (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"138";"geldwisselaars";"https://iisg.amsterdam/resource/hisco/code/hisco/33150";"Money Changer";"Changes money from one currency to another."
"139";"gest (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"140";"geweermakers";"https://iisg.amsterdam/resource/hisco/code/hisco/83920";"Gunsmith";"Makes, repairs and modifies sports guns and other small arms according to customers' specifications."
"141";"gipsfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"142";"glas (in medicijn-)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"143";"glas (kooplieden en winkeliers in venster- en spiegel-)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"144";"glasblazers";"https://iisg.amsterdam/resource/hisco/code/hisco/89120";"Glass Blower";"Blows molten glass into shape by means of blowpipe."
"145";"glasbranders, graveurs, slijpers en buigers";"https://iisg.amsterdam/resource/hisco/code/hisco/89190";"Other Glass Formers, Cutters, Grinders and Finishers";"This group includes glass formers, cutters, grinders and finishers not elsewhere classified, for example those ladling molten glass into moulds; gathering required quantities of molten glass on end of metal rod and handing it to other workers; putting legs and feet on glass articles; making laminated glass and vacuum flasks; operating automatic machines that cap (score and break) flat glass into sections of specified dimensions; operating a lathe to grind glass articles for use in laboratory apparatus or to cut, shape and seal glass bulbs used in manufacture of electronic valves or tubes."
"146";"glasfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"147";"glazenwasscherijen";"https://iisg.amsterdam/resource/hisco/code/hisco/55230";"Window Cleaner";"Cleans windows in buildings."
"148";"goederen (in gemaakte)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"149";"gom-copal (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"150";"goochelkunst (artisten in de)";"https://iisg.amsterdam/resource/hisco/code/hisco/17530";"Magician";"Entertains circus, theatre, television and other audiences by performing tricks of illusion and sleight of hand."
"151";"goudborduurders";"https://iisg.amsterdam/resource/hisco/code/hisco/79565";"Embroiderer, Hand or Machine";"Works decorative designs on garment parts or other materials by hand stitching (7-95.60) or sewing machine (7-95.70)."
"152";"goudchlorure voor photographen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"153";"gouddraad cantilles (fabrikanten en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"154";"goud- en zilversmeden en handelaren in goud, zilver en juweelen";"https://iisg.amsterdam/resource/hisco/code/hisco/88050";"Goldsmith and Silversmith";"Makes and repairs gold, silver, or other precious metal articles, or articles of pewter, such as tableware and artistic objects, using hand or power tools."
"155";"goud- en zilversmidsgereedschappen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"156";"goud- en zilverdraadtrekkers";"https://iisg.amsterdam/resource/hisco/code/hisco/88090";"Other Jewellery and Precious Metal Workers";"This group includes jewellery and precious metal workers not elsewhere classified, for example those who decorate jewellery by colouring or enamelling; make and repair imitation jewellery; make wax and metal models and use these to make plaster moulds for casting items of jewellery."
"157";"goudslagers";"https://iisg.amsterdam/resource/hisco/code/hisco/88050";"Goldsmith and Silversmith";"Makes and repairs gold, silver, or other precious metal articles, or articles of pewter, such as tableware and artistic objects, using hand or power tools."
"158";"grafmonumenten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"159";"gramophonen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"160";"granen, zaden en meel. (kooplieden en commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"161";"graveurs";"https://iisg.amsterdam/resource/hisco/code/hisco/88080";"Jewellery Engraver";"Cuts letters and ornamental designs on precious metal ware and jewellery."
"162";"groenten, aardappelen en fruit (handel in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"163";"grutterswaren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"164";"gymnastiekwerktuigen (fabrikant van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"165";"haar (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"166";"haarwerkers (kunst-)";"https://iisg.amsterdam/resource/hisco/code/hisco/75460";"Carpet Weaver (Machine)";"Operates loom on which carpets or rugs are woven."
"167";"handschoenen (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"168";"handschoenwasschers";"https://iisg.amsterdam/resource/hisco/code/hisco/56010";"Launderer, General";"Performs duties such as washing, drying and ironing clothing, textile fabrics and similar articles in a laundry or in private house."
"169";"hardglasfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"170";"heel- en vroedmeesters";"https://iisg.amsterdam/resource/hisco/code/hisco/06105";"General Physician";"Conducts medical examinations, makes diagnoses, prescribes medicines, and gives other forms of treatment for various kinds of diseases, disorders and injuries of the human body; applies preventive medicine techniques to prevent diseases and promote good health."
"171";"heeren-artikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"172";"heimasten (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"173";"hoedenfabrikanten en winkeliers in hoeden en petten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"174";"hoedenmakersfournituren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"175";"hoepels (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"176";"honden, katten, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"177";"horlogemakers en winkeliers";"https://iisg.amsterdam/resource/hisco/code/hisco/84222";"Watch and Clock Assembler or Repairer";"Fits and assembles (8-42.20) or repairs, cleans and adjusts (8-42.25) watches and clocks. May also make parts."
"178";"horloges, horlogemakersgereedschappen, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"179";"hout (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"180";"houtfactors";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"181";"houtgraveurs";"https://iisg.amsterdam/resource/hisco/code/hisco/81945";"Wood Carver";"Carves designs in wood for furniture, screens, panelling and other uses, using hand tools."
"182";"houtkoopers";"https://iisg.amsterdam/resource/hisco/code/hisco/42220";"Buyer";"Buys goods for resale in wholesale and retail trade."
"183";"houtskolen (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"184";"houtvlotters";"https://iisg.amsterdam/resource/hisco/code/hisco/63140";"River Driver";"Launches logs into river and guides them downstream to mill or into rafts or booms for further transport."
"185";"houtwaren (kooplieden in fijne)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"186";"houtwol";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"187";"houtzagers";"https://iisg.amsterdam/resource/hisco/code/hisco/81225";"Precision Sawyer, Hand or Machine";"Cuts stock lumber to standard or desired shape using hand tools or sawing machine."
"188";"huish. artikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"189";"importeurs";"https://iisg.amsterdam/resource/hisco/code/hisco/42220";"Buyer";"Buys goods for resale in wholesale and retail trade."
"190";"india-rubber stempels (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"191";"informatien (bureaux van handels-)";"https://iisg.amsterdam/resource/hisco/code/hisco/21300";"Sales Manager, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 2-13."
"192";"ingenieurs";"https://iisg.amsterdam/resource/hisco/code/hisco/02000";"Engineers, Specialisation Unknown";"May perform any (but not all) of the occupational activities listed in unit groups 0-22 to 0-29."
"193";"inktfabrikant";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"194";"instrumentmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/84230";"Precision Instrument Maker";"Makes, adjusts and repairs mechanical instruments and mechanical portions of electrical and optical instruments."
"195";"instrumentslijpers";"https://iisg.amsterdam/resource/hisco/code/hisco/83540";"Cutting Instruments Sharpener";"Sharpens knives, surgical instruments and other cutting instruments (except machine tools) by means of grinding wheel."
"196";"jaloezieënfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"197";"japansche en chineesche goederen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"198";"juweelen, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"199";"juweelen, enz. (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"200";"juweliers";"https://iisg.amsterdam/resource/hisco/code/hisco/88010";"Jeweller, General";"Makes complete jewellery articles such as rings, brooches and bracelets."
"201";"kaarsenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/94960";"Candle Maker";"Performs one or more tasks in the manufacture of candles by dipping or moulding."
"202";"kaarten (in geograph.)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"203";"kalkbranders";"https://iisg.amsterdam/resource/hisco/code/hisco/74240";"Drier Operator (Chemical and Related Processes)";"Operates driers that heat liquids or slurries to remove water or volatile liquid components."
"204";"kantoorbehoeften, enz. (grossiers en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"205";"kantwerksters";"https://iisg.amsterdam/resource/hisco/code/hisco/75452";"Lace Weaver (Hand or Machine)";"Makes lace by machine (7-54.50) or hand."
"206";"kappers";"https://iisg.amsterdam/resource/hisco/code/hisco/57025";"Women's or Men's Hairdresser";"May perform the occupational activities of a women=s hairdresser (5-70.20) and/or a men=s hairdresser (5-70.30)."
"207";"kassiers";"https://iisg.amsterdam/resource/hisco/code/hisco/33135";"Cashier, Office or Cash Desk";"Takes charge of cash and keeps records of cash transactions incidental to the conduct of a business (3-31.30) or receives cash in payment for goods or services and gives change to clients in a retail store, railway or boat station, theatre or other establishment or performs simple cash-handling operations in a bank (3-31.60)."
"208";"katoenspinners";"https://iisg.amsterdam/resource/hisco/code/hisco/75220";"Spinner, Thread and Yarn";"Operates machines to spin thread and yarn from roving on to spindles or other output packages."
"209";"kerkornamenten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"210";"kinderspeelgoederen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"211";"kistenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/81990";"Other Cabinetmakers and Related Woodworkers";"This group includes cabinetmakers and related woodworkers not elsewhere classified, for example those marking wood to indicate where it must be cut or shaped; making wooden sports goods, such as skis, tennis racquets, hockey sticks and gymnastic apparatus; making coffins; making wooden shoes; bending wooden parts in steam by hand or machine; assembling wooden products."
"212";"kleederen (winkeliers in gemaakte) en confectie-magazijnen";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"213";"kleedermakers";"https://iisg.amsterdam/resource/hisco/code/hisco/79100";"Tailor, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 7-91."
"214";"kleedermakers-fournituren, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
